"","X32.4373776242137"
"1",30.1099995132536
"2",32.5374572426081
"3",30.3348582014441
"4",36.9186706561595
"5",36.7871392834932
"6",31.3971985913813
"7",36.0096015762538
"8",33.9516873843968
"9",34.0314679052681
"10",31.2239916715771
"11",34.0363672971725
"12",35.7381739467382
"13",32.4774928148836
"14",30.5902390405536
"15",36.1236783005297
"16",31.951430618763
"17",33.8799299132079
"18",35.4167562182993
"19",34.0159797836095
"20",32.638161405921
"21",34.9745535850525
"22",32.494594456628
"23",35.1712487526238
"24",34.4266687259078
"25",36.4588187225163
"26",37.9372033402324
"27",32.0704785492271
"28",31.6099843010306
"29",36.07736508362
"30",31.4487696662545
"31",34.0584549605846
"32",32.4373776242137
